		Dry-bulb temperature (°C)
		
Date	Time	KEW.FWT
	08:00	1.60
	09:00	1.70
	10:00	0.90
	11:00	1.30
	12:00	1.50
	13:00	1.60
	14:00	1.20
	15:00	1.70
	16:00	2.00
	17:00	1.90
	18:00	2.20
	19:00	2.10
	20:00	1.90
	21:00	2.70
	22:00	2.10
	23:00	2.00
Tue, 21/Jan	24:00	1.70
	01:00	1.60
	02:00	1.80
	03:00	1.40
	04:00	1.40
	05:00	1.30
	06:00	0.70
	07:00	0.30
	08:00	0.50
	09:00	0.50
	10:00	1.00
	11:00	1.80
	12:00	2.40
	13:00	2.80
	14:00	2.90
	15:00	3.20
	16:00	2.40
	17:00	2.10
	18:00	2.20
	19:00	2.00
	20:00	2.10
	21:00	2.30
	22:00	2.40
	23:00	1.00
Wed, 22/Jan	24:00	0.80
	01:00	0.90
	02:00	0.80
	03:00	0.90
	04:00	1.00
	05:00	1.10
	06:00	1.10
	07:00	1.20
	08:00	1.70
	09:00	2.20
	10:00	3.40
	11:00	4.70
	12:00	5.40
	13:00	5.90
	14:00	5.90
	15:00	6.40
	16:00	6.00
	17:00	5.60
	18:00	5.40
	19:00	4.90
	20:00	5.70
	21:00	5.20
	22:00	4.90
	23:00	4.90
Thu, 23/Jan	24:00	4.40
	01:00	3.90
	02:00	3.70
	03:00	2.80
	04:00	1.80
	05:00	1.50
	06:00	0.40
	07:00	0.70
	08:00	0.50
	09:00	1.20
	10:00	2.20
	11:00	4.00
	12:00	5.60
	13:00	6.60
	14:00	7.00
	15:00	7.40
	16:00	7.00
	17:00	5.90
	18:00	6.10
	19:00	6.20
	20:00	6.40
	21:00	6.50
	22:00	6.50
	23:00	6.60
Fri, 24/Jan	24:00	6.80
	01:00	7.00
	02:00	7.50
	03:00	8.00
	04:00	8.00
	05:00	8.00
	06:00	8.00
	07:00	8.20
	08:00	8.60
	09:00	8.90
	10:00	9.20
	11:00	8.90
	12:00	9.40
	13:00	9.50
	14:00	9.50
	15:00	9.40
	16:00	8.70
